source,image,gt,qwen_verdict,qwen_confidence,correct,reason
AIGuard_unseen,fake_469.jpg,fake,real,1.0,0,"The image appears to be an authentic, unmodified photograph of a person."
AIGuard_unseen,fake_683.jpg,fake,real,1.0,0,"The image appears to be an authentic, unmodified photograph of a person."
WildDeepfake,test_104_real_57_1934.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural lighting and the lack of contex
WildDeepfake,test_104_real_83_2932.jpg,real,real,1.0,1,"The image appears to be a real, unmodified photograph of a person."
WildDeepfake,test_104_real_65_2312.jpg,real,real,1.0,1,"The image appears to be a real, unmodified photograph of a person."
WildDeepfake,test_104_real_65_2270.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural lighting and the lack of detail
WildDeepfake,test_104_real_65_2238.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural lighting and the lack of detail
WildDeepfake,test_104_real_57_1932.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural lighting and the lack of contex
WildDeepfake,test_104_real_57_1963.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_104_real_83_2982.jpg,real,real,1.0,1,"The image appears to be an authentic, unmodified photograph of a person."
WildDeepfake,test_104_real_65_2268.jpg,real,real,1.0,1,"The image appears to be an authentic, unmodified photograph of a person."
WildDeepfake,test_104_real_13_573.jpg,real,fake,0.9,0,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural lighting and the lack of detail
WildDeepfake,test_1_fake_33_1047.jpg,fake,fake,0.95,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_1194.jpg,fake,fake,0.9,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_1049.jpg,fake,fake,0.95,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_1183.jpg,fake,fake,0.95,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_1176.jpg,fake,fake,0.95,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_981.jpg,fake,fake,0.95,1,"The image appears to be a deepfake or AI-generated/synthesized face, as the features seem unnatural and the lighting is "
WildDeepfake,test_1_fake_33_1135.jpg,fake,fake,0.9,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_33_1022.jpg,fake,fake,0.95,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
WildDeepfake,test_1_fake_40_1444.jpg,fake,filter,0.9,0,"The image appears to have been beautified using filters, with enhanced skin and facial features, but the identity is pre"
WildDeepfake,test_1_fake_33_1235.jpg,fake,fake,0.9,1,The image appears to be a deepfake or AI-generated/synthesized face due to the unnatural skin texture and lighting.
