artifact_path,artifact_type,phase,model_version,checkpoint_provenance,source_script,generated_at,sha256,status,allowed_usage,notes
./eval_v811_gates.py,script,Phase 1,v8.11 (parameterized),VERIFIED script exists; CAUTION: defaults to v811c not v811d,N/A (is the script),N/A,NOT COMPUTED,active,production_evidence,Must be invoked with explicit v811d/v811 args to produce production-valid results; default args produce v811c (historical) results
./eval_truetest_paired.py,script,Phase 1,v8.11,VERIFIED script defaults correctly to v811d/v811,N/A (is the script),N/A,NOT COMPUTED,active,production_evidence,"Produces the paired balanced-accuracy metric (81.1% per TODO.md); prints to stdout only, no archived output file found"
./phase2_p0_v811_filter_gradcam_validation.py,script,Phase 2,v8.11,"VERIFIED - imports pipeline.py directly, dynamic checkpoint resolution",N/A (is the script),N/A,NOT COMPUTED,active,production_evidence,Authoritative production Filter XAI validation script
./phase2_whitening_pointinggame_diagnostic.py,script,Phase 2,v8.11,VERIFIED - imports pipeline.py directly,N/A (is the script),N/A,NOT COMPUTED,active,production_evidence,Whitening PointingGame root-cause diagnostic
./results/eval_v811d_gates.log,result_json,Phase 1,v8.11,VERIFIED - log header explicitly states Layer1 v811d + Layer2 v811,eval_v811_gates.py (explicit args),2026-08-10 16:27:55 +08:00 (file mtime),NOT COMPUTED,production_result,production_evidence,Core Freeze Gate numbers; matches CLAUDE.md exactly
./results/v811_gates_output.txt,result_json,Phase 1,v8.11 Layer1c (NOT v811d),VERIFIED - header explicitly states v811c,eval_v811_gates.py (default args),unknown (mtime not captured),NOT COMPUTED,stale/historical,unverifiable_do_not_cite,"DO NOT cite as v8.11 production evidence -- filter recall 94.0%/AUROC 0.8112 are Layer1c numbers, not v811d's 93.6%/0.8150"
./results/stress_test_v811_pipeline.json,result_json,Phase 1,v8.11,VERIFIED via companion log's explicit statement of this exact output path,AIGuard/stress_test_v811_pipeline.py (explicit v811d/v811 args),"2026-08-11 03:47:06 +08:00 (file mtime; companion log dated 2026-08-10 16:25 -- discrepancy noted, content cross-checked consistent)",NOT COMPUTED,production_result,production_evidence,287x8 raw per-image fake+filter stress predictions; aggregate 3.71% in companion log
./results/stress_test_v811d_pipeline.log,result_json,Phase 1,v8.11,VERIFIED - header explicit,AIGuard/stress_test_v811_pipeline.py,2026-08-10 16:25:00 +08:00,NOT COMPUTED,production_result,production_evidence,"3.71% (85/2289) aggregate fake+filter misclassification, per-condition breakdown"
./results/robustness_eval_v811d.json,result_json,Phase 1/3,v8.11,VERIFIED via filename + content cross-check against eval_v811d_gates.log,AIGuard/eval_robustness.py,2026-08-11 03:25:33 +08:00,NOT COMPUTED,production_result,production_evidence,"Robustness stress conditions (lighting, etc.) baseline block matches True Test numbers exactly"
./results/ali_ood_v811_output.txt,result_json,Phase 1,v8.11 Layer1c (NOT v811d),VERIFIED header states v811c,AIGuard/eval_ali_ood_v811.py (default args),2026-08-02 12:07 (file mtime),NOT COMPUTED,stale/historical,unverifiable_do_not_cite,"Reports 97.8%, NOT the 98.1% quoted in CLAUDE.md for v8.11d -- no file backs the 98.1% number, see ORPHAN_AND_UNVERIFIABLE_REGISTER.md"
./results/v811_confusion_matrix.json,result_json,Phase 1,pre-v811d (stale),UNVERIFIABLE for v811d -- file predates v811d's creation date entirely,"generate_v811_confusion_matrix.py (dynamic pipeline.py import, but stale artifact)","2026-08-03 09:10:33 +08:00 (predates v811d creation, 2026-08-10)",NOT COMPUTED,stale/historical,unverifiable_do_not_cite,"Content matches v811c-era numbers (94.0% filter recall), not v811d's 93.6% -- needs regeneration before use"
./results/phase2_p0_v811_filter_gradcam_validation_20260813.json,result_json,Phase 2,v8.11,VERIFIED - embedded layer1_checkpoint/layer2_checkpoint fields explicitly name v811d/v811,phase2_p0_v811_filter_gradcam_validation.py,2026-08-13 09:16:52 +08:00,NOT COMPUTED,production_result,production_evidence,Authoritative production Filter XAI numbers; also contains v8.8 reference comparison in v88_reference_for_comparison field
./results/phase2_whitening_peak_diagnostic_20260813/summary.json,result_json,Phase 2,v8.11,VERIFIED - producing script imports pipeline.py directly,phase2_whitening_pointinggame_diagnostic.py,2026-08-13 10:32:04 +08:00,NOT COMPUTED,production_result,production_evidence,Root-cause diagnostic; no fix applied
./results/xai_faithfulness_blur_v1_20260813.json,result_json,Phase 2,v8.11,VERIFIED - producing script imports pipeline.py directly; own _note field confirms 'PRODUCTION v8.11',xai_faithfulness_blur_test.py,2026-08-13 07:52:26 +08:00,NOT COMPUTED,production_result,production_evidence,"Supersedes xai_faithfulness_v1_20260812.json (constant-fill masking, documented frequency-domain confound)"
./results/mobile_deployment_benchmark.json,result_json,Phase 3,v8.11,VERIFIED via content cross-check (pytorch_fp32 recall matches eval_v811d_gates.log exactly),benchmark_mobile_artifacts.py,2026-08-11 02:39:38 +08:00,NOT COMPUTED,production_result,production_evidence,fp32/fp16/int8 TFLite comparison; fp32 only valid deployable variant
./results/xai_comparison_eye_face_white.json,result_json,Phase 2,v8.8 (superseded),VERIFIED historical - explicitly cited as v8.8-backbone by phase2_p0_v811_filter_gradcam_validation.py,"unidentified in this pass (likely an early compare_methods() routine, not found as a standalone root script)",unknown,NOT COMPUTED,historical,historical_comparison,"v8.8 flat 3-class Grad-CAM++-vs-region-head study; legitimate as historical baseline only, never as production evidence"
./results/gt_vs_gradcam/gt_vs_gradcam_eye_enlarging.png,xai_visualization,Phase 2,v8.11,VERIFIED - producing script imports pipeline.py directly,generate_gt_vs_gradcam_figures.py,2026-08-13 11:00:07 +08:00,NOT COMPUTED,production_result,production_evidence,"Regenerated after accidental overwrite of the Layer1c-era original; no before/after comparison possible, see ORPHAN_AND_UNVERIFIABLE_REGISTER.md"
./results/gt_vs_gradcam/gt_vs_gradcam_face_reshaping.png,xai_visualization,Phase 2,v8.11,VERIFIED - same as above,generate_gt_vs_gradcam_figures.py,2026-08-13 11:00:10 +08:00,NOT COMPUTED,production_result,production_evidence,Same caveat as eye_enlarging figure above
./results/phase2_whitening_peak_diagnostic_20260813/contact_sheet.png,figure,Phase 2,v8.11,VERIFIED - same run as summary.json above,phase2_whitening_pointinggame_diagnostic.py,2026-08-13 10:32 +08:00,NOT COMPUTED,production_result,production_evidence,Visual confirmation of position-invariant Grad-CAM++ peak for whitening failures
./results/mobile_export/layer1_v811d_tf/layer1_v811d_float32.tflite,tflite,Phase 3,v8.11 (Layer1d),VERIFIED - filename + benchmark decision agreement=1.0 vs PyTorch,export_mobile_tflite.py,"not captured (file present, mtime not read in this pass)",C16CF71F250BEA1CC83FE171DC7120EDBD2335C06EEF3F20998E20D2F4194389,production,production_evidence,size=10964640 bytes; ONLY the float32 variant is validated/deployable
./results/mobile_export/layer2_v811_tf/layer2_v811_float32.tflite,tflite,Phase 3,v8.11 (Layer2 v811),VERIFIED - filename + benchmark decision agreement=1.0 vs PyTorch,export_mobile_tflite.py,not captured,3DEED69D6CA4EBB9F7597391CE04390C49758E283A59BBBC988F615DD14EB0CD,production,production_evidence,"size=10964636 bytes; combined with Layer1d float32 = 20.91MB, matches CLAUDE.md"
./results/mobile_export/layer1_v811d_tf/layer1_v811d_float16.tflite,tflite,Phase 3,v8.11 (Layer1d),VERIFIED file exists but confirmed BROKEN,export_mobile_tflite.py,not captured,NOT COMPUTED,broken,unverifiable_do_not_cite,"Fails to load: CONV_2D prepare error, per mobile_deployment_benchmark.json"
./results/mobile_export/layer1_v811d_tf/layer1_v811d_dynamic_range_quant.tflite,tflite,Phase 3,v8.11 (Layer1d),VERIFIED file exists but confirmed numerically INCORRECT,export_mobile_tflite.py,not captured,NOT COMPUTED,broken,unverifiable_do_not_cite,Loads but recall collapses to 0% for filter/fake per mobile_deployment_benchmark.json
./splits/v811_layer1_round4_train.txt,split,Phase 1,v8.11 (Layer1d),VERIFIED - SPLITS path read directly from AIGuard/train_v811_layer1d.py line 126,"AIGuard/train_v811_layer1d.py (consumer, not producer)",not captured,8A33AC2209B3E1EC5EC1CB97ECA6C0AD2E8302BA0AF1115B5210EBD856F45FF9,production,production_evidence,"212375 lines, 18722634 bytes"
./splits/v811_layer1_val.txt,split,Phase 1,v8.11 (Layer1d),"VERIFIED - same as above, line 127",AIGuard/train_v811_layer1d.py (consumer),not captured,D8DAAF3A6A84E620FED60379E6DB5A3E8E1787C2CC90B6F8CBABF44E9BA703AA,production,production_evidence,"14676 lines, 1137758 bytes"
./splits/v811_layer2_train.txt,split,Phase 1,v8.11 (Layer2 v811),VERIFIED - SPLITS path read directly from AIGuard/train_v811_layer2.py line 132,AIGuard/train_v811_layer2.py (consumer),not captured,3AE92D2ACBF215897A31BE70C5FA9EC8410518F1A3B5C15985CF4E0A6C681BD4,production,production_evidence,"146426 lines, 13783593 bytes"
./splits/v811_layer2_val.txt,split,Phase 1,v8.11 (Layer2 v811),"VERIFIED - same as above, line 133",AIGuard/train_v811_layer2.py (consumer),not captured,B46BB7BB4E3F1E4942BBE8D6DFD40DDF3B2C7C963BEA5733EDF95270CAC28931,production,production_evidence,"8794 lines, 794645 bytes"
"./pipeline.py (preprocessing config, embedded)",config,Phase 1,v8.11,VERIFIED - read directly from source in this pass,"N/A (is the config, embedded in pipeline.py)",N/A,N/A (see pipeline.py row above for file hash),production,production_evidence,"224x224 resize, mean/std=0.5, JPEG q=85 preprocessing ON by default, MediaPipe face gate, artifact open-set threshold=0.6 -- see RELEASE_MANIFEST.json current_preprocessing_configuration"
./shufflenet_v2_layer2_v815ablation_cellC_unfreeze1_inv0.pth,checkpoint,Phase 3 (research),v8.15-C@0.85 (CLAUDE.md naming),"VERIFIED file exists, confirmed research-only by CLAUDE.md/TODO.md and phase2_composite_explanation.py self-declaration",AIGuard/train_v815_ablation.py,2026-08-12,NOT COMPUTED (out of release scope),research_candidate,research_only,Parent of v8.16 mixed-lineage per train_v816.py console output
./shufflenet_v2_layer2_v816_mixedlineage.pth,checkpoint,Phase 3 (research),v8.16 mixed-lineage,"VERIFIED file exists, confirmed research-only",AIGuard/train_v816.py,"2026-08-13 09:04 (file mtime, from Stage A pass)",NOT COMPUTED (out of release scope),research_candidate,research_only,Cross-source generalization still short of stretch target; never routed to by pipeline.py
